timestamp,vehicle_id,X_vehicle_position,Y_vehicle_position,vehicle_speed,vehicle_acceleration,traffic_light_state,front_vehicle_id,lane_id,intersction_id,lanes_leading_1,lanes_leading_2,vehicle_length,Gap,vehicle_arrangement,lane_length,number_of_vehical_on_lane,number_of_places_available_in_lane,num_veh_neighbor_lane,num_veh_neighbor_lane_2,avg_speed_veh_neighbor_lane,avg_acceleration_veh_neighbor_lane,angle_movment,number_of_vehicles_moving_from_1,number_of_vehicles_moving_from_2,start_lane,end_lane
85,Veh993e2539-2d99-4289-87e3-6b44b643e3cf,401.6,-7.586414048591308,0.0,0.0,0,3,-E17_0,2,-E28_0,E27_0,4.7,1.3,0,81.07,14,-1.0,11,10,1.7247767550426252,0.16308511765303485,0.0,5,5,"(401.6, -7.2)","(401.6, -88.27)"
85,Veh99a75e15-3d42-4ff9-96b0-573ed3eea0b8,268.5125879597584,-198.4,7.03,-0.7639346945768177,2,Veh11ea1645-49f5-4693-90bf-32c6490b56e8,-E20_0,3,-E27_0,E26_0,4.7,1.3,7,81.07,10,3.0,13,18,1.6969003525370339,-0.24547512902104413,270.0,6,9,"(207.2, -198.4)","(288.27, -198.4)"
85,Veh9b517d04-1241-496c-b41d-c5688fd73c2c,401.6,-49.593755872041804,0.0,0.0,0,Vehe17c2406-91e4-4510-a511-ec7307d883e7,-E17_0,2,-E28_0,E27_0,4.7,1.3,7,81.07,14,-1.0,11,10,1.7247767550426252,0.16308511765303485,0.0,5,5,"(401.6, -7.2)","(401.6, -88.27)"
85,Veh9eca2d2a-8b6b-433f-92d6-d66f17f17a0a,198.4,50.20838136358892,0.0,0.0,0,Veh7801ed84-4d90-4695-9145-8f5ecb1a68b2,-E10_0,0,-E12_0,-E13_0,4.7,1.3,7,185.6,12,18.0,14,13,0.0,-8.216358407731484e-06,180.0,7,6,"(198.4, 7.2)","(198.4, 192.8)"
85,Veha02bb7fe-9c9e-4bcf-8f81-d2f5512ea2c1,299.399684896772,1.6,17.2,0.1786314107098308,1,Vehe310e0d0-04f8-46fd-97f4-b4e27cf3778e,-E14_0,0,-E15_0,-E16_0,4.7,1.3,7,185.6,10,20.0,14,10,0.0,0.0,270.0,7,5,"(207.2, 1.6)","(392.8, 1.6)"
85,Veha1fea65b-ac03-4d1f-ae07-5aeca9544862,343.79067664095504,-1.6,0.0,0.0,2,Veh4f2b731a-6936-438a-8b1c-f98c966ed896,E7_0,2,-E18_0,-E22_0,4.7,1.3,8,185.6,13,17.0,8,0,1.6239351737832335,-0.026821755652781665,90.0,4,0,"(392.8, -1.6)","(207.2, -1.6)"
85,Veha48bd23e-d457-4b44-91bd-539a0aa159cd,191.7988893774076,-201.6,0.0,0.0,2,Veh5be05a27-0658-44a1-b2bf-bac93a62d5e8,-E21_0,3,-E220_0,E18_0,4.7,1.3,0,81.07,13,0.0,8,13,1.5200311679973314e-05,1.5200311679973314e-05,90.0,4,6,"(192.8, -201.6)","(111.73, -201.6)"
85,Veha52bb688-cadc-4839-b50c-7aaafc2c0d8d,201.6,-214.20209413624627,0.0,0.0,0,Vehc1a23e26-e589-42be-a3e7-1530b1675e97,-E19_0,3,-E26_0,E22_0,4.7,1.3,1,81.07,14,-1.0,5,2,0.027571466053773686,-0.054567677921449224,0.0,2,1,"(201.6, -207.2)","(201.6, -288.27)"
85,Veha5b3e63c-a33d-4c6c-98d1-a160ea8c5dbb,401.6,-61.59579967640579,0.0,0.0,0,Vehd1c1fd4b-f07a-4599-be08-5de561b19267,-E17_0,2,-E28_0,E27_0,4.7,1.3,9,81.07,14,-1.0,11,10,1.7247767550426252,0.16308511765303485,0.0,5,5,"(401.6, -7.2)","(401.6, -88.27)"
85,Veha602089b-df05-4faa-8cc2-ef7fe4597088,131.78873781993707,198.4,0.0,0.0,2,Vehd14f2eaf-7ae1-4ea1-86dd-7f76efff26de,-E12_0,1,-E33_0,E32_0,4.7,1.3,10,81.07,14,-1.0,8,17,0.09794890302766926,-0.20923758719603364,90.0,4,8,"(192.8, 198.4)","(111.73, 198.4)"
85,Veha76bb217-54b7-40d9-ba0c-93dc28c8523c,8.201025079824888,1.6,0.0,0.0,2,Veh4235cf04-3f9e-490e-ad4c-cddba80c9b4c,E9_0,4,-E10_0,-E14_0,4.7,1.3,0,185.6,28,2.0,12,10,0.0003483349997189372,-0.001302448926004994,270.0,6,5,"(7.2, 1.6)","(192.8, 1.6)"
85,Veha9b6ccaf-d35f-4209-bb7c-ad22f2561261,391.79893148795776,-1.6,0.0,0.0,2,Veh052fa145-910d-4d90-9a55-263148dc31b0,E7_0,2,-E18_0,-E22_0,4.7,1.3,0,185.6,13,17.0,8,0,1.6239351737832335,-0.026821755652781665,90.0,4,0,"(392.8, -1.6)","(207.2, -1.6)"
